pick,team,value,round_label,pick_notes
48,Atlanta Braves,"$2,031,500",Round 2,
49,Tampa Bay Rays,"$1,984,200",Round 2,
50,St. Louis Cardinals,"$1,934,700",Round 2,
51,Pittsburgh Pirates,"$1,891,200",Round 2,Compensation for unsigned 2025 No. 50 overall pick Angel Cervantes.
52,Miami Marlins,"$1,846,700",Round 2,
53,Arizona Diamondbacks,"$1,803,500",Round 2,
54,Texas Rangers,"$1,761,600",Round 2,
55,San Francisco Giants,"$1,720,300",Round 2,
56,Kansas City Royals,"$1,680,000",Round 2,
57,Houston Astros,"$1,636,800",Round 2,
58,Cincinnati Reds,"$1,598,100",Round 2,
59,Cleveland Guardians,"$1,560,200",Round 2,
60,San Diego Padres,"$1,523,200",Round 2,
61,Detroit Tigers,"$1,486,700",Round 2,
62,Chicago Cubs,"$1,451,200",Round 2,
63,New York Yankees,"$1,416,600",Round 2,
64,Philadelphia Phillies,"$1,382,300",Round 2,
65,Seattle Mariners,"$1,349,100",Round 2,
66,Milwaukee Brewers,"$1,320,400",Round 2,
67,Boston Red Sox,"$1,285,400",Competitive Balance Round B,"Acquired from the Brewers in the trade for Caleb Durbin, Andruw Monasterio and Anthony Seigler."
68,St. Louis Cardinals,"$1,254,400",Competitive Balance Round B,Acquired from the Mariners in the trade for Brendan Donovan.
69,Detroit Tigers,"$1,223,800",Competitive Balance Round B,
70,Cincinnati Reds,"$1,193,500",Competitive Balance Round B,
71,Miami Marlins,"$1,163,700",Competitive Balance Round B,
72,St. Louis Cardinals,"$1,145,900",Competitive Balance Round B,Acquired from the Rays in the trade for Brendan Donovan.
73,Athletics,"$1,128,400",Competitive Balance Round B,
74,Minnesota Twins,"$1,111,000",Competitive Balance Round B,
75,Los Angeles Dodgers,"$1,093,800",Compensation Pick A,Compensation for Kyle Tucker. The Dodgers forfeited their third- and sixth-round picks for signing Tucker.
76,Colorado Rockies,"$1,076,800",Round 3,
77,Chicago white Sox,"$1,060,300",Round 3,
78,Washington Nationals,"$1,043,700",Round 3,
79,Minnesota Twins,"$1,027,200",Round 3,
80,Pittsburgh Pirates,"$1,010,600",Round 3,
81,Los Angeles Angels,"$993,900",Round 3,
82,Baltimore Orioles,"$979,500",Round 3,
83,Athletics,"$964,800",Round 3,
84,Atlanta Braves,"$950,100",Round 3,
85,Tampa Bay Rays,"$935,300",Round 3,
86,St. Louis Cardinals,"$920,800",Round 3,
87,Miami Marlins,"$907,200",Round 3,
88,Arizona Diamondbacks,"$893,000",Round 3,
89,Texas Rangers,"$879,000",Round 3,
90,San Francisco Giants,"$865,500",Round 3,
91,Kansas City Royals,"$851,800",Round 3,
92,New York Mets,"$839,100",Round 3,
93,Houston Astros,"$826,400",Round 3,
94,Cincinnati Reds,"$813,600",Round 3,
95,Cleveland Guardians,"$803,900",Round 3,
96,Boston Red Sox,"$796,000",Round 3,
97,San Diego Padres,"$788,500",Round 3,
98,Chicago Cubs,"$780,600",Round 3,
99,New York Yankees,"$773,100",Round 3,
100,Philadelphia Phillies,"$765,400",Round 3,
101,Seattle Mariners,"$759,400",Round 3,
102,Milwaukee Brewers,"$752,000",Round 3,
103,Toronto Blue Jays,"$744,400",Round 3,
104,Colorado Rockies,"$737,000",Round 4,
105,Chicago white Sox,"$729,600",Round 4,
106,Washington Nationals,"$722,600",Round 4,
107,Minnesota Twins,"$715,400",Round 4,
108,Pittsburgh Pirates,"$708,300",Round 4,
109,Los Angeles Angels,"$701,300",Round 4,
110,Baltimore Orioles,"$694,600",Round 4,
111,Athletics,"$687,800",Round 4,
112,Atlanta Braves,"$680,800",Round 4,
113,Tampa Bay Rays,"$674,300",Round 4,
114,St. Louis Cardinals,"$667,700",Round 4,
115,Miami Marlins,"$661,100",Round 4,
116,Arizona Diamondbacks,"$654,700",Round 4,
117,Texas Rangers,"$648,400",Round 4,
118,San Francisco Giants,"$642,200",Round 4,
119,Kansas City Royals,"$635,700",Round 4,
120,New York Mets,"$629,500",Round 4,
121,Houston Astros,"$623,300",Round 4,
122,Cincinnati Reds,"$617,200",Round 4,
123,Cleveland Guardians,"$611,300",Round 4,
124,Boston Red Sox,"$605,300",Round 4,
125,San Diego Padres,"$599,600",Round 4,
126,Detroit Tigers,"$594,500",Round 4,
127,Chicago Cubs,"$588,900",Round 4,
128,New York Yankees,"$582,900",Round 4,
129,Philadelphia Phillies,"$577,400",Round 4,
130,Seattle Mariners,"$571,500",Round 4,
131,Milwaukee Brewers,"$567,000",Round 4,
132,Toronto Blue Jays,"$561,400",Round 4,
133,Los Angeles Dodgers,"$555,800",Round 4,
134,Houston Astros,"$550,300",Compensation Pick B,Compensation for Framber Valdez. The Tigers forfeited their third-round pick for signing Valdez.
135,San Diego Padres,"$544,900",Compensation Pick B,Compensation for Dylan Cease. The Blue Jays forfeited their second- and fifth-round picks for signing Cease.
136,Toronto Blue Jays,"$539,700",Compensation Pick B,Compensation for Bo Bichette. The Mets forfeited their second-round pick and the compensatory pick for Edwin Díaz when signing Bichette.
137,Philadelphia Phillies,"$534,400",Compensation Pick B,Compensation for Ranger Suárez. The Red Sox forfeited their second- and fifth-round picks for signing Suárez.
138,Colorado Rockies,"$529,100",Round 5,
139,Chicago white Sox,"$523,900",Round 5,
140,Washington Nationals,"$519,100",Round 5,
141,Minnesota Twins,"$513,900",Round 5,
142,Pittsburgh Pirates,"$508,900",Round 5,
143,Los Angeles Angels,"$503,800",Round 5,
144,Baltimore Orioles,"$499,000",Round 5,
145,Athletics,"$493,900",Round 5,
146,Atlanta Braves,"$489,200",Round 5,
147,Tampa Bay Rays,"$484,400",Round 5,
148,St. Louis Cardinals,"$479,800",Round 5,
149,Miami Marlins,"$475,000",Round 5,
150,Arizona Diamondbacks,"$470,100",Round 5,
151,Texas Rangers,"$465,400",Round 5,
152,San Francisco Giants,"$461,100",Round 5,
153,Kansas City Royals,"$456,400",Round 5,
154,New York Mets,"$452,000",Round 5,
155,Houston Astros,"$447,400",Round 5,
156,Cincinnati Reds,"$443,100",Round 5,
157,Cleveland Guardians,"$438,600",Round 5,
158,San Diego Padres,"$434,400",Round 5,
159,Detroit Tigers,"$430,600",Round 5,
160,Chicago Cubs,"$426,600",Round 5,
161,New York Yankees,"$422,700",Round 5,
162,Philadelphia Phillies,"$418,700",Round 5,
163,Seattle Mariners,"$415,100",Round 5,
164,Milwaukee Brewers,"$411,100",Round 5,
165,Colorado Rockies,"$407,300",Round 6,
166,Chicago white Sox,"$403,900",Round 6,
167,Washington Nationals,"$400,400",Round 6,
168,Minnesota Twins,"$397,000",Round 6,
169,Pittsburgh Pirates,"$393,700",Round 6,
170,Los Angeles Angels,"$390,100",Round 6,
171,Baltimore Orioles,"$386,700",Round 6,
172,Athletics,"$383,600",Round 6,
173,Atlanta Braves,"$380,500",Round 6,
174,Tampa Bay Rays,"$377,100",Round 6,
175,St. Louis Cardinals,"$374,100",Round 6,
176,Miami Marlins,"$371,000",Round 6,
177,Arizona Diamondbacks,"$367,900",Round 6,
178,Texas Rangers,"$364,800",Round 6,
179,San Francisco Giants,"$361,600",Round 6,
180,Kansas City Royals,"$358,700",Round 6,
181,New York Mets,"$355,800",Round 6,
182,Houston Astros,"$353,100",Round 6,
183,Cincinnati Reds,"$350,200",Round 6,
184,Cleveland Guardians,"$347,100",Round 6,
185,Boston Red Sox,"$344,400",Round 6,
186,San Diego Padres,"$341,600",Round 6,
187,Detroit Tigers,"$338,900",Round 6,
188,Chicago Cubs,"$336,100",Round 6,
189,New York Yankees,"$333,500",Round 6,
190,Philadelphia Phillies,"$330,600",Round 6,
191,Seattle Mariners,"$327,800",Round 6,
192,Milwaukee Brewers,"$325,100",Round 6,
193,Toronto Blue Jays,"$322,300",Round 6,
194,Colorado Rockies,"$319,800",Round 7,
195,Chicago white Sox,"$317,200",Round 7,
196,Washington Nationals,"$314,500",Round 7,
197,Minnesota Twins,"$311,900",Round 7,
198,Pittsburgh Pirates,"$309,400",Round 7,
199,Los Angeles Angels,"$306,700",Round 7,
200,Baltimore Orioles,"$304,200",Round 7,
201,Athletics,"$302,500",Round 7,
202,Atlanta Braves,"$299,900",Round 7,
203,Tampa Bay Rays,"$297,400",Round 7,
204,St. Louis Cardinals,"$295,000",Round 7,
205,Miami Marlins,"$292,400",Round 7,
206,Arizona Diamondbacks,"$289,900",Round 7,
207,Texas Rangers,"$287,700",Round 7,
208,San Francisco Giants,"$285,200",Round 7,
209,Kansas City Royals,"$282,900",Round 7,
210,New York Mets,"$280,800",Round 7,
211,Houston Astros,"$278,500",Round 7,
212,Cincinnati Reds,"$276,200",Round 7,
213,Cleveland Guardians,"$274,100",Round 7,
214,Boston Red Sox,"$272,000",Round 7,
215,San Diego Padres,"$269,700",Round 7,
216,Detroit Tigers,"$267,700",Round 7,
217,Chicago Cubs,"$265,400",Round 7,
218,New York Yankees,"$263,500",Round 7,
219,Philadelphia Phillies,"$261,300",Round 7,
220,Seattle Mariners,"$259,700",Round 7,
221,Milwaukee Brewers,"$257,700",Round 7,
222,Toronto Blue Jays,"$256,000",Round 7,
223,Los Angeles Dodgers,"$254,000",Round 7,
224,Colorado Rockies,"$252,100",Round 8,
225,Chicago white Sox,"$250,300",Round 8,
226,Washington Nationals,"$248,700",Round 8,
227,Minnesota Twins,"$247,200",Round 8,
228,Pittsburgh Pirates,"$245,400",Round 8,
229,Los Angeles Angels,"$243,300",Round 8,
230,Baltimore Orioles,"$241,900",Round 8,
231,Athletics,"$239,900",Round 8,
232,Atlanta Braves,"$238,600",Round 8,
233,Tampa Bay Rays,"$236,800",Round 8,
234,St. Louis Cardinals,"$235,200",Round 8,
235,Miami Marlins,"$233,400",Round 8,
236,Arizona Diamondbacks,"$232,000",Round 8,
237,Texas Rangers,"$230,400",Round 8,
238,San Francisco Giants,"$229,000",Round 8,
239,Kansas City Royals,"$227,800",Round 8,
240,New York Mets,"$226,500",Round 8,
241,Houston Astros,"$225,400",Round 8,
242,Cincinnati Reds,"$224,100",Round 8,
243,Cleveland Guardians,"$223,100",Round 8,
244,Boston Red Sox,"$221,700",Round 8,
245,San Diego Padres,"$220,800",Round 8,
246,Detroit Tigers,"$219,800",Round 8,
247,Chicago Cubs,"$218,700",Round 8,
248,New York Yankees,"$217,700",Round 8,
249,Philadelphia Phillies,"$216,800",Round 8,
250,Seattle Mariners,"$215,600",Round 8,
251,Milwaukee Brewers,"$215,100",Round 8,
252,Toronto Blue Jays,"$214,200",Round 8,
253,Los Angeles Dodgers,"$213,200",Round 8,
254,Colorado Rockies,"$212,500",Round 9,
255,Chicago white Sox,"$211,700",Round 9,
256,Washington Nationals,"$210,900",Round 9,
257,Minnesota Twins,"$210,200",Round 9,
258,Pittsburgh Pirates,"$209,600",Round 9,
259,Los Angeles Angels,"$208,700",Round 9,
260,Baltimore Orioles,"$208,100",Round 9,
261,Athletics,"$207,500",Round 9,
262,Atlanta Braves,"$206,900",Round 9,
263,Tampa Bay Rays,"$206,100",Round 9,
264,St. Louis Cardinals,"$205,500",Round 9,
265,Miami Marlins,"$205,100",Round 9,
266,Arizona Diamondbacks,"$204,400",Round 9,
267,Texas Rangers,"$203,900",Round 9,
268,San Francisco Giants,"$203,500",Round 9,
269,Kansas City Royals,"$202,900",Round 9,
270,New York Mets,"$202,200",Round 9,
271,Houston Astros,"$201,800",Round 9,
272,Cincinnati Reds,"$201,300",Round 9,
273,Cleveland Guardians,"$200,800",Round 9,
274,Boston Red Sox,"$200,400",Round 9,
275,San Diego Padres,"$200,000",Round 9,
276,Detroit Tigers,"$199,500",Round 9,
277,Chicago Cubs,"$199,200",Round 9,
278,New York Yankees,"$198,600",Round 9,
279,Philadelphia Phillies,"$198,000",Round 9,
280,Seattle Mariners,"$197,800",Round 9,
281,Milwaukee Brewers,"$197,600",Round 9,
282,Toronto Blue Jays,"$197,200",Round 9,
283,Los Angeles Dodgers,"$196,800",Round 9,
284,Colorado Rockies,"$196,600",Round 10,
285,Chicago white Sox,"$196,000",Round 10,
286,Washington Nationals,"$195,300",Round 10,
287,Minnesota Twins,"$195,100",Round 10,
288,Pittsburgh Pirates,"$194,700",Round 10,
289,Los Angeles Angels,"$194,400",Round 10,
290,Baltimore Orioles,"$194,100",Round 10,
291,Athletics,"$193,800",Round 10,
292,Atlanta Braves,"$193,500",Round 10,
293,Tampa Bay Rays,"$193,100",Round 10,
294,St. Louis Cardinals,"$192,600",Round 10,
295,Miami Marlins,"$192,400",Round 10,
296,Arizona Diamondbacks,"$191,700",Round 10,
297,Texas Rangers,"$191,500",Round 10,
298,San Francisco Giants,"$191,300",Round 10,
299,Kansas City Royals,"$190,900",Round 10,
300,New York Mets,"$190,500",Round 10,
301,Houston Astros,"$190,300",Round 10,
302,Cincinnati Reds,"$190,100",Round 10,
303,Cleveland Guardians,"$189,800",Round 10,
304,Boston Red Sox,"$189,300",Round 10,
305,San Diego Padres,"$189,000",Round 10,
306,Detroit Tigers,"$188,900",Round 10,
307,Chicago Cubs,"$188,600",Round 10,
308,New York Yankees,"$188,300",Round 10,
309,Philadelphia Phillies,"$187,800",Round 10,
310,Seattle Mariners,"$187,600",Round 10,
311,Milwaukee Brewers,"$187,300",Round 10,
312,Toronto Blue Jays,"$187,300",Round 10,
313,Los Angeles Dodgers,"$187,300",Round 10,
